Datum,Zaehlerstand
26.04.2017,2054
27.04.2017,2093
28.04.2017,1759
29.04.2017,1550
30.04.2017,3513
01.05.2017,334
02.05.2017,1137
03.05.2017,1634
04.05.2017,1585
05.05.2017,1958
06.05.2017,3253
07.05.2017,2198
08.05.2017,1840
09.05.2017,2719
10.05.2017,3319
11.05.2017,2774
12.05.2017,1679
13.05.2017,2000
14.05.2017,1911
15.05.2017,3482
16.05.2017,4017
17.05.2017,4668
18.05.2017,1757
19.05.2017,963
20.05.2017,1766
21.05.2017,4379
22.05.2017,3908
23.05.2017,3857
24.05.2017,3057
25.05.2017,5321
26.05.2017,3906
27.05.2017,3740
28.05.2017,3177
29.05.2017,3624
30.05.2017,3055
31.05.2017,3660
01.06.2017,3891
02.06.2017,3023
03.06.2017,1917
04.06.2017,2472
05.06.2017,4533
06.06.2017,1589
07.06.2017,1668
08.06.2017,2973
09.06.2017,1917
10.06.2017,3287
11.06.2017,4482
12.06.2017,2805
13.06.2017,3252
14.06.2017,3867
15.06.2017,4047
16.06.2017,2309
17.06.2017,2066
18.06.2017,4294
19.06.2017,3970
20.06.2017,4172
21.06.2017,4161
22.06.2017,2950
23.06.2017,3260
24.06.2017,2551
25.06.2017,2179
26.06.2017,3229
27.06.2017,2527
28.06.2017,1790
29.06.2017,2148
30.06.2017,2450
01.07.2017,678
02.07.2017,1737
03.07.2017,3494
04.07.2017,3835
05.07.2017,4285
06.07.2017,3509
07.07.2017,3504
08.07.2017,3156
09.07.2017,4006
10.07.2017,2169
11.07.2017,3084
12.07.2017,1005
13.07.2017,3652
14.07.2017,2190
15.07.2017,2933
16.07.2017,2570
17.07.2017,2435
18.07.2017,4430
19.07.2017,2765
20.07.2017,1903
21.07.2017,3744
22.07.2017,2624
23.07.2017,2155
24.07.2017,963
25.07.2017,658
26.07.2017,2259
27.07.2017,2332
28.07.2017,2327
29.07.2017,2219
30.07.2017,3343
31.07.2017,3445
01.08.2017,1820
02.08.2017,2811
03.08.2017,2071
04.08.2017,2569
05.08.2017,1056
06.08.2017,3587
07.08.2017,3715
08.08.2017,1704
09.08.2017,3109
10.08.2017,579
11.08.2017,1112
12.08.2017,722
13.08.2017,3432
14.08.2017,3595
15.08.2017,1806
16.08.2017,3209
17.08.2017,2046
18.08.2017,762
19.08.2017,1404
20.08.2017,2182
21.08.2017,3081
22.08.2017,3607
23.08.2017,4244
24.08.2017,3180
25.08.2017,2890
26.08.2017,2457
27.08.2017,3753
28.08.2017,3958
29.08.2017,4510
30.08.2017,2602
31.08.2017,1469
01.09.2017,2397
02.09.2017,1342
03.09.2017,2879
04.09.2017,3079
05.09.2017,2727
06.09.2017,1707
07.09.2017,2352
08.09.2017,1138
09.09.2017,780
10.09.2017,2614
11.09.2017,1445
12.09.2017,1602
13.09.2017,1251
14.09.2017,1192
15.09.2017,1347
16.09.2017,1463
17.09.2017,1731
18.09.2017,1328
19.09.2017,1556
20.09.2017,1699
21.09.2017,2778
22.09.2017,2339
23.09.2017,1933
24.09.2017,2399
25.09.2017,2296
26.09.2017,2488
27.09.2017,2969
28.09.2017,1992
29.09.2017,2346
30.09.2017,317
01.10.2017,2235
02.10.2017,1287
03.10.2017,1528
04.10.2017,1896
05.10.2017,1347
06.10.2017,1204
07.10.2017,622
08.10.2017,754
09.10.2017,1527
10.10.2017,1532
11.10.2017,2113
12.10.2017,2309
13.10.2017,2129
14.10.2017,2881
15.10.2017,4411
16.10.2017,3242
17.10.2017,2927
18.10.2017,3082
19.10.2017,2765
20.10.2017,1445
21.10.2017,843
22.10.2017,664
23.10.2017,1498
24.10.2017,1356
25.10.2017,1951
26.10.2017,1891
27.10.2017,1389
28.10.2017,623
29.10.2017,759
30.10.2017,1276
31.10.2017,955
01.11.2017,1653
02.11.2017,1619
03.11.2017,1631
04.11.2017,1455
05.11.2017,615
06.11.2017,1595
07.11.2017,1798
08.11.2017,1310
09.11.2017,1651
10.11.2017,1066
11.11.2017,435
12.11.2017,309
13.11.2017,1543
14.11.2017,1541
15.11.2017,1484
16.11.2017,1626
17.11.2017,1559
18.11.2017,588
19.11.2017,756
20.11.2017,763
21.11.2017,969
22.11.2017,1990
23.11.2017,1537
24.11.2017,814
25.11.2017,545
26.11.2017,599
27.11.2017,810
28.11.2017,1372
29.11.2017,1395
30.11.2017,872
01.12.2017,998
02.12.2017,522
03.12.2017,200
04.12.2017,942
05.12.2017,1296
06.12.2017,1416
07.12.2017,1090
08.12.2017,830
09.12.2017,276
10.12.2017,96
11.12.2017,649
12.12.2017,995
13.12.2017,845
14.12.2017,866
15.12.2017,891
16.12.2017,529
17.12.2017,487
18.12.2017,688
19.12.2017,909
20.12.2017,754
21.12.2017,808
22.12.2017,527
23.12.2017,496
24.12.2017,404
25.12.2017,489
26.12.2017,354
27.12.2017,462
28.12.2017,634
29.12.2017,422
30.12.2017,339
31.12.2017,719
01.01.2018,392
02.01.2018,620
03.01.2018,451
04.01.2018,677
05.01.2018,1122
06.01.2018,949
07.01.2018,1337
08.01.2018,1399
09.01.2018,1381
10.01.2018,1197
11.01.2018,1417
12.01.2018,1248
13.01.2018,871
14.01.2018,1108
15.01.2018,1006
16.01.2018,879
17.01.2018,603
18.01.2018,557
19.01.2018,1055
20.01.2018,359
21.01.2018,784
22.01.2018,1033
23.01.2018,1325
24.01.2018,1664
25.01.2018,899
26.01.2018,1388
27.01.2018,1180
28.01.2018,849
29.01.2018,1251
30.01.2018,1758
31.01.2018,858
01.02.2018,1208
02.02.2018,841
03.02.2018,608
04.02.2018,612
05.02.2018,1318
06.02.2018,1014
07.02.2018,816
08.02.2018,681
09.02.2018,648
10.02.2018,218
11.02.2018,287
12.02.2018,457
13.02.2018,905
14.02.2018,1155
15.02.2018,383
16.02.2018,1047
17.02.2018,666
18.02.2018,1316
19.02.2018,1103
20.02.2018,1272
21.02.2018,1306
22.02.2018,1230
23.02.2018,1104
24.02.2018,554
25.02.2018,572
26.02.2018,781
27.02.2018,760
28.02.2018,725
01.03.2018,717
02.03.2018,633
03.03.2018,291
04.03.2018,739
05.03.2018,1568
06.03.2018,1698
07.03.2018,1193
08.03.2018,1001
09.03.2018,1190
10.03.2018,1061
11.03.2018,1228
12.03.2018,1233
13.03.2018,605
14.03.2018,1842
15.03.2018,1538
16.03.2018,808
17.03.2018,263
18.03.2018,373
19.03.2018,1194
20.03.2018,1114
21.03.2018,2663
22.03.2018,749
23.03.2018,1203
24.03.2018,1496
25.03.2018,2258
26.03.2018,1604
27.03.2018,999
28.03.2018,622
29.03.2018,1133
30.03.2018,1766
31.03.2018,1309
01.04.2018,222
02.04.2018,1184
03.04.2018,1353
04.04.2018,1154
05.04.2018,1239
06.04.2018,2305
07.04.2018,3130
08.04.2018,4803
09.04.2018,3028
10.04.2018,4298
11.04.2018,1597
12.04.2018,2975
13.04.2018,2143
14.04.2018,3006
15.04.2018,3386
16.04.2018,3097
17.04.2018,4099
18.04.2018,4567
19.04.2018,4576
20.04.2018,4399
21.04.2018,4121
22.04.2018,3241
23.04.2018,2879
