Datum,Zaehlerstand
20.04.2017,2416
21.04.2017,2561
22.04.2017,1909
23.04.2017,1977
24.04.2017,3050
25.04.2017,2724
26.04.2017,2954
27.04.2017,3227
28.04.2017,2579
29.04.2017,1560
30.04.2017,1874
01.05.2017,489
02.05.2017,1957
03.05.2017,2399
04.05.2017,2656
05.05.2017,2658
06.05.2017,2016
07.05.2017,1520
08.05.2017,2748
09.05.2017,3394
10.05.2017,3697
11.05.2017,3573
12.05.2017,2384
13.05.2017,1544
14.05.2017,1425
15.05.2017,3678
16.05.2017,4102
17.05.2017,4246
18.05.2017,2715
19.05.2017,1664
20.05.2017,1735
21.05.2017,2243
22.05.2017,3927
23.05.2017,3927
24.05.2017,3567
25.05.2017,2137
26.05.2017,2905
27.05.2017,1966
28.05.2017,1683
29.05.2017,3493
30.05.2017,3503
31.05.2017,3808
01.06.2017,4140
02.06.2017,3127
03.06.2017,1416
04.06.2017,1387
05.06.2017,2048
06.06.2017,2308
07.06.2017,2507
08.06.2017,3321
09.06.2017,2487
10.06.2017,2106
11.06.2017,2112
12.06.2017,3481
13.06.2017,3643
14.06.2017,4024
15.06.2017,2268
16.06.2017,2822
17.06.2017,1720
18.06.2017,2720
19.06.2017,3971
20.06.2017,4204
21.06.2017,4106
22.06.2017,3575
23.06.2017,3605
24.06.2017,2004
25.06.2017,1552
26.06.2017,3487
27.06.2017,3279
28.06.2017,2400
29.06.2017,3071
30.06.2017,2893
01.07.2017,850
02.07.2017,1215
03.07.2017,3853
04.07.2017,3924
05.07.2017,4312
06.07.2017,3901
07.07.2017,3520
08.07.2017,1861
09.07.2017,1945
10.07.2017,2787
11.07.2017,3517
12.07.2017,1601
13.07.2017,3864
14.07.2017,2791
15.07.2017,1558
16.07.2017,1392
17.07.2017,2576
18.07.2017,3807
19.07.2017,2978
20.07.2017,2333
21.07.2017,3296
22.07.2017,2213
23.07.2017,1596
24.07.2017,1465
25.07.2017,1113
26.07.2017,2591
27.07.2017,2787
28.07.2017,2721
29.07.2017,1473
30.07.2017,1590
31.07.2017,3162
01.08.2017,2356
02.08.2017,2963
03.08.2017,2209
04.08.2017,2491
05.08.2017,1053
06.08.2017,1794
07.08.2017,3337
08.08.2017,2313
09.08.2017,3057
10.08.2017,1040
11.08.2017,1580
12.08.2017,757
13.08.2017,1734
14.08.2017,3287
15.08.2017,2455
16.08.2017,3560
17.08.2017,2826
18.08.2017,1200
19.08.2017,1241
20.08.2017,1182
21.08.2017,3194
22.08.2017,3508
23.08.2017,3655
24.08.2017,3386
25.08.2017,3009
26.08.2017,1651
27.08.2017,1828
28.08.2017,3652
29.08.2017,3908
30.08.2017,3104
31.08.2017,2070
01.09.2017,2978
02.09.2017,1468
03.09.2017,1950
04.09.2017,3588
05.09.2017,3561
06.09.2017,2409
07.09.2017,3187
08.09.2017,2009
09.09.2017,975
10.09.2017,1570
11.09.2017,2106
12.09.2017,2471
13.09.2017,2175
14.09.2017,2122
15.09.2017,2002
16.09.2017,1344
17.09.2017,1214
18.09.2017,2222
19.09.2017,2504
20.09.2017,2248
21.09.2017,3504
22.09.2017,2912
23.09.2017,1632
24.09.2017,1762
25.09.2017,3148
26.09.2017,3186
27.09.2017,3350
28.09.2017,2806
29.09.2017,3116
30.09.2017,815
01.10.2017,1570
02.10.2017,1948
03.10.2017,1142
04.10.2017,2846
05.10.2017,2409
06.10.2017,2005
07.10.2017,913
08.10.2017,892
09.10.2017,2683
10.10.2017,2774
11.10.2017,3085
12.10.2017,3278
13.10.2017,2934
