Datum,Zaehlerstand
16.04.2017,740
17.04.2017,988
18.04.2017,2349
19.04.2017,2413
20.04.2017,2749
21.04.2017,2616
22.04.2017,2281
23.04.2017,1637
24.04.2017,3037
25.04.2017,2714
26.04.2017,2972
27.04.2017,3090
28.04.2017,3032
29.04.2017,2497
30.04.2017,1901
01.05.2017,955
02.05.2017,2245
03.05.2017,2852
04.05.2017,2723
05.05.2017,3148
06.05.2017,3202
07.05.2017,1950
08.05.2017,2779
09.05.2017,3316
10.05.2017,3432
11.05.2017,3322
12.05.2017,2725
13.05.2017,2761
14.05.2017,1645
15.05.2017,3682
16.05.2017,3574
17.05.2017,3849
18.05.2017,2822
19.05.2017,1964
20.05.2017,2711
21.05.2017,2247
22.05.2017,3696
23.05.2017,3773
24.05.2017,3570
25.05.2017,2408
26.05.2017,3716
27.05.2017,2875
28.05.2017,2022
29.05.2017,3536
30.05.2017,3737
31.05.2017,3994
01.06.2017,4020
02.06.2017,3384
03.06.2017,2772
04.06.2017,1716
05.06.2017,2198
06.06.2017,2945
07.06.2017,2852
08.06.2017,3539
09.06.2017,2941
10.06.2017,376
11.06.2017,185
12.06.2017,3528
13.06.2017,3785
14.06.2017,4224
15.06.2017,2124
16.06.2017,3438
17.06.2017,2750
18.06.2017,2318
19.06.2017,3821
20.06.2017,4075
21.06.2017,3877
22.06.2017,3661
23.06.2017,3843
24.06.2017,3061
25.06.2017,2006
26.06.2017,3619
27.06.2017,3392
28.06.2017,2841
29.06.2017,3222
30.06.2017,3415
01.07.2017,1575
02.07.2017,1646
03.07.2017,3746
04.07.2017,3850
05.07.2017,4019
06.07.2017,3678
07.07.2017,3790
08.07.2017,3195
09.07.2017,2697
10.07.2017,3220
11.07.2017,3703
12.07.2017,2091
13.07.2017,3883
14.07.2017,3235
15.07.2017,2974
16.07.2017,2063
17.07.2017,2948
18.07.2017,3708
19.07.2017,2857
20.07.2017,2823
21.07.2017,3571
22.07.2017,2906
23.07.2017,1714
24.07.2017,2012
25.07.2017,1590
26.07.2017,2984
27.07.2017,3105
28.07.2017,3109
29.07.2017,2683
30.07.2017,2016
31.07.2017,3333
01.08.2017,2769
02.08.2017,3191
03.08.2017,2759
04.08.2017,3154
05.08.2017,2013
06.08.2017,1980
07.08.2017,3313
08.08.2017,2505
09.08.2017,3235
10.08.2017,1353
11.08.2017,2215
12.08.2017,1613
13.08.2017,1945
14.08.2017,3259
15.08.2017,2567
16.08.2017,3332
17.08.2017,2844
18.08.2017,1856
19.08.2017,2266
20.08.2017,1733
21.08.2017,3247
22.08.2017,3566
23.08.2017,3459
24.08.2017,3415
25.08.2017,3206
26.08.2017,2701
27.08.2017,2096
28.08.2017,3570
29.08.2017,3853
30.08.2017,3413
31.08.2017,2637
01.09.2017,3307
02.09.2017,2598
03.09.2017,2053
04.09.2017,3695
05.09.2017,3538
06.09.2017,2990
07.09.2017,3337
08.09.2017,2508
09.09.2017,1743
10.09.2017,1904
11.09.2017,2774
12.09.2017,2784
13.09.2017,2507
14.09.2017,2198
15.09.2017,2680
16.09.2017,2294
17.09.2017,1778
18.09.2017,2378
19.09.2017,2839
20.09.2017,2999
21.09.2017,3315
22.09.2017,3188
23.09.2017,2725
24.09.2017,1895
25.09.2017,3191
26.09.2017,3332
27.09.2017,3435
28.09.2017,3282
29.09.2017,3385
30.09.2017,1402
01.10.2017,1876
02.10.2017,2673
03.10.2017,1525
04.10.2017,3081
05.10.2017,2568
06.10.2017,2459
07.10.2017,1954
08.10.2017,1237
09.10.2017,2683
10.10.2017,2811
11.10.2017,3062
12.10.2017,3150
13.10.2017,3142
14.10.2017,2966
15.10.2017,2056
16.10.2017,3350
17.10.2017,3351
18.10.2017,3415
19.10.2017,3390
20.10.2017,2871
21.10.2017,2189
22.10.2017,1312
23.10.2017,2842
24.10.2017,2804
25.10.2017,2946
26.10.2017,2879
27.10.2017,2902
28.10.2017,1974
29.10.2017,1182
30.10.2017,2600
31.10.2017,1420
01.11.2017,1558
02.11.2017,2716
03.11.2017,2917
04.11.2017,2938
05.11.2017,1273
06.11.2017,2749
07.11.2017,2806
08.11.2017,2570
09.11.2017,2893
10.11.2017,2504
11.11.2017,1172
12.11.2017,793
13.11.2017,2710
14.11.2017,2714
15.11.2017,2554
16.11.2017,2739
17.11.2017,2678
18.11.2017,1876
19.11.2017,1106
20.11.2017,1681
21.11.2017,2182
22.11.2017,2907
23.11.2017,2675
24.11.2017,2067
25.11.2017,1838
26.11.2017,1140
27.11.2017,1684
28.11.2017,2505
29.11.2017,2667
30.11.2017,2064
01.12.2017,2271
02.12.2017,1871
03.12.2017,693
