Datum,Zaehlerstand
24.04.2017,2758
25.04.2017,2082
26.04.2017,2427
27.04.2017,2430
28.04.2017,2022
29.04.2017,1173
30.04.2017,2683
01.05.2017,292
02.05.2017,1476
03.05.2017,1974
04.05.2017,1954
05.05.2017,3511
06.05.2017,2366
07.05.2017,1537
08.05.2017,2238
09.05.2017,2894
10.05.2017,3328
11.05.2017,2963
12.05.2017,1901
13.05.2017,1677
14.05.2017,1402
15.05.2017,3484
16.05.2017,3857
17.05.2017,4489
18.05.2017,1934
19.05.2017,1198
20.05.2017,3429
21.05.2017,2862
22.05.2017,3807
23.05.2017,3811
24.05.2017,2858
25.05.2017,3042
26.05.2017,2984
27.05.2017,2996
28.05.2017,2202
29.05.2017,4264
30.05.2017,3299
31.05.2017,3723
01.06.2017,3821
02.06.2017,2987
03.06.2017,1637
04.06.2017,1638
05.06.2017,3176
06.06.2017,1356
07.06.2017,1943
08.06.2017,2705
09.06.2017,1912
10.06.2017,2526
11.06.2017,3245
12.06.2017,3228
13.06.2017,3425
14.06.2017,3938
15.06.2017,3317
16.06.2017,2383
17.06.2017,1651
18.06.2017,3255
19.06.2017,4305
20.06.2017,4401
21.06.2017,4744
22.06.2017,3646
23.06.2017,3332
24.06.2017,1964
25.06.2017,1801
26.06.2017,3508
27.06.2017,2996
28.06.2017,2105
29.06.2017,2668
30.06.2017,2599
01.07.2017,507
02.07.2017,1314
03.07.2017,3722
04.07.2017,3935
05.07.2017,4184
06.07.2017,3461
07.07.2017,3620
08.07.2017,2656
09.07.2017,3129
10.07.2017,2264
11.07.2017,3357
12.07.2017,1141
13.07.2017,3424
14.07.2017,2084
15.07.2017,1787
16.07.2017,1668
17.07.2017,2181
18.07.2017,4014
19.07.2017,2494
20.07.2017,1908
21.07.2017,2833
22.07.2017,2058
23.07.2017,1695
24.07.2017,1164
25.07.2017,876
26.07.2017,2122
27.07.2017,2052
28.07.2017,1860
29.07.2017,1514
30.07.2017,2206
31.07.2017,2533
01.08.2017,1509
02.08.2017,2008
03.08.2017,1493
04.08.2017,1699
05.08.2017,696
06.08.2017,3104
07.08.2017,2699
08.08.2017,1391
09.08.2017,2261
10.08.2017,478
11.08.2017,896
12.08.2017,561
13.08.2017,2076
14.08.2017,2458
15.08.2017,1445
16.08.2017,2117
17.08.2017,1528
18.08.2017,601
19.08.2017,1103
20.08.2017,1474
21.08.2017,2254
22.08.2017,2720
23.08.2017,3288
24.08.2017,2489
25.08.2017,3489
26.08.2017,1611
27.08.2017,3695
28.08.2017,3307
29.08.2017,3781
30.08.2017,2825
31.08.2017,1789
01.09.2017,2699
02.09.2017,1375
03.09.2017,2505
04.09.2017,3043
05.09.2017,2817
06.09.2017,2068
07.09.2017,3345
08.09.2017,1734
09.09.2017,806
10.09.2017,2049
11.09.2017,1767
12.09.2017,1837
13.09.2017,1487
14.09.2017,1352
15.09.2017,1566
16.09.2017,1290
17.09.2017,1386
18.09.2017,1726
19.09.2017,1948
20.09.2017,3670
21.09.2017,2735
22.09.2017,2404
23.09.2017,1582
24.09.2017,1792
25.09.2017,2574
26.09.2017,2505
27.09.2017,2932
28.09.2017,3894
29.09.2017,2443
30.09.2017,346
01.10.2017,3580
02.10.2017,1585
03.10.2017,1295
04.10.2017,2168
05.10.2017,1552
06.10.2017,1280
07.10.2017,874
08.10.2017,635
09.10.2017,1894
10.10.2017,2032
11.10.2017,2465
12.10.2017,2573
13.10.2017,2388
14.10.2017,2478
15.10.2017,2950
16.10.2017,3339
17.10.2017,2940
18.10.2017,3203
19.10.2017,2906
20.10.2017,1783
21.10.2017,893
22.10.2017,2122
23.10.2017,1640
24.10.2017,1596
25.10.2017,1978
