Datum,Zaehlerstand
18.04.2017,2968
19.04.2017,3417
20.04.2017,3625
21.04.2017,2873
22.04.2017,1962
23.04.2017,1537
24.04.2017,4353
25.04.2017,3695
26.04.2017,3958
27.04.2017,4227
28.04.2017,3001
29.04.2017,1996
30.04.2017,2680
01.05.2017,600
02.05.2017,2759
03.05.2017,3480
04.05.2017,3338
05.05.2017,3432
06.05.2017,3384
07.05.2017,2027
08.05.2017,3556
09.05.2017,4672
10.05.2017,5197
11.05.2017,4635
12.05.2017,2989
13.05.2017,2528
14.05.2017,1728
15.05.2017,5245
16.05.2017,6202
17.05.2017,6955
18.05.2017,3406
19.05.2017,1979
20.05.2017,2466
21.05.2017,3185
22.05.2017,5759
23.05.2017,5690
24.05.2017,4936
25.05.2017,3611
26.05.2017,4419
27.05.2017,3278
28.05.2017,2574
29.05.2017,5182
30.05.2017,5173
31.05.2017,5429
01.06.2017,5502
02.06.2017,3926
03.06.2017,2231
04.06.2017,1596
05.06.2017,2680
06.06.2017,2783
07.06.2017,3057
08.06.2017,4064
09.06.2017,2889
10.06.2017,3471
11.06.2017,3289
12.06.2017,4721
13.06.2017,5137
14.06.2017,5890
15.06.2017,2634
16.06.2017,3257
17.06.2017,2321
18.06.2017,2849
19.06.2017,5665
20.06.2017,5853
21.06.2017,6475
22.06.2017,5148
23.06.2017,4813
24.06.2017,2926
25.06.2017,2173
26.06.2017,4891
27.06.2017,4501
28.06.2017,3847
29.06.2017,3963
30.06.2017,3732
01.07.2017,1050
02.07.2017,1797
03.07.2017,5045
04.07.2017,5601
05.07.2017,6187
06.07.2017,4759
07.07.2017,4692
08.07.2017,3213
09.07.2017,3256
10.07.2017,3943
11.07.2017,4769
12.07.2017,2521
13.07.2017,5026
14.07.2017,3466
15.07.2017,2290
16.07.2017,1799
17.07.2017,3772
18.07.2017,5653
19.07.2017,4112
20.07.2017,3591
21.07.2017,4545
22.07.2017,2735
23.07.2017,1785
24.07.2017,2153
25.07.2017,1858
26.07.2017,3745
27.07.2017,3848
28.07.2017,3545
29.07.2017,2211
30.07.2017,2393
31.07.2017,3852
01.08.2017,2951
02.08.2017,3534
03.08.2017,2810
04.08.2017,3091
05.08.2017,1305
06.08.2017,2426
07.08.2017,3766
08.08.2017,2698
09.08.2017,3661
10.08.2017,1144
11.08.2017,1798
12.08.2017,822
13.08.2017,2123
14.08.2017,3494
15.08.2017,2550
16.08.2017,3399
17.08.2017,2799
18.08.2017,1448
19.08.2017,1417
20.08.2017,1628
21.08.2017,3286
22.08.2017,3923
23.08.2017,4303
24.08.2017,3702
25.08.2017,3164
26.08.2017,2264
27.08.2017,2787
28.08.2017,4294
29.08.2017,4742
30.08.2017,3588
31.08.2017,2525
01.09.2017,3403
02.09.2017,1918
03.09.2017,2649
04.09.2017,3711
05.09.2017,3860
06.09.2017,2985
07.09.2017,3721
08.09.2017,2377
09.09.2017,1083
10.09.2017,2264
11.09.2017,2755
12.09.2017,2802
13.09.2017,2407
14.09.2017,2182
15.09.2017,2409
16.09.2017,1674
17.09.2017,1516
18.09.2017,2445
19.09.2017,2959
20.09.2017,3305
21.09.2017,3693
22.09.2017,3308
23.09.2017,2217
24.09.2017,1978
25.09.2017,3319
26.09.2017,3785
27.09.2017,4065
28.09.2017,3780
29.09.2017,3520
30.09.2017,663
01.10.2017,2237
02.10.2017,2505
03.10.2017,1614
04.10.2017,3339
05.10.2017,2693
06.10.2017,2360
07.10.2017,1066
08.10.2017,929
09.10.2017,3217
10.10.2017,3490
11.10.2017,4053
12.10.2017,4505
13.10.2017,3758
14.10.2017,3072
15.10.2017,3146
16.10.2017,5043
17.10.2017,4953
18.10.2017,5209
19.10.2017,5116
20.10.2017,3183
21.10.2017,1638
22.10.2017,1313
23.10.2017,3533
24.10.2017,3566
25.10.2017,3937
26.10.2017,3791
27.10.2017,2862
28.10.2017,1125
29.10.2017,975
30.10.2017,2377
31.10.2017,1071
01.11.2017,1505
02.11.2017,3074
03.11.2017,2784
04.11.2017,1856
05.11.2017,1091
06.11.2017,3287
07.11.2017,3682
08.11.2017,3213
09.11.2017,3520
10.11.2017,2508
11.11.2017,989
12.11.2017,631
13.11.2017,3317
14.11.2017,3585
15.11.2017,3342
16.11.2017,3417
17.11.2017,2978
18.11.2017,1361
19.11.2017,949
20.11.2017,2131
21.11.2017,2683
22.11.2017,3697
23.11.2017,3562
24.11.2017,1880
25.11.2017,1096
26.11.2017,1046
27.11.2017,2023
28.11.2017,3067
29.11.2017,3168
30.11.2017,2484
01.12.2017,2190
02.12.2017,1147
03.12.2017,454
04.12.2017,2411
05.12.2017,2994
06.12.2017,3163
07.12.2017,2969
08.12.2017,2067
09.12.2017,716
10.12.2017,339
11.12.2017,1771
12.12.2017,2723
13.12.2017,2311
14.12.2017,2389
15.12.2017,2228
16.12.2017,1108
17.12.2017,757
18.12.2017,2075
19.12.2017,2353
20.12.2017,2086
21.12.2017,2137
22.12.2017,1282
23.12.2017,754
24.12.2017,334
25.12.2017,263
26.12.2017,286
27.12.2017,713
28.12.2017,955
29.12.2017,745
30.12.2017,488
31.12.2017,605
01.01.2018,305
02.01.2018,1106
03.01.2018,876
04.01.2018,1287
05.01.2018,1824
06.01.2018,1080
07.01.2018,983
08.01.2018,2986
09.01.2018,3196
10.01.2018,2961
11.01.2018,3162
12.01.2018,2661
13.01.2018,1444
14.01.2018,1397
15.01.2018,2539
16.01.2018,2307
17.01.2018,1858
18.01.2018,1634
19.01.2018,2258
20.01.2018,728
21.01.2018,808
22.01.2018,2376
23.01.2018,2898
24.01.2018,3190
25.01.2018,2338
26.01.2018,2644
27.01.2018,1922
28.01.2018,1040
29.01.2018,2817
30.01.2018,3324
31.01.2018,2319
01.02.2018,2824
02.02.2018,2086
03.02.2018,1152
04.02.2018,878
05.02.2018,2628
06.02.2018,2281
07.02.2018,1873
08.02.2018,1279
09.02.2018,1191
10.02.2018,652
11.02.2018,529
12.02.2018,819
13.02.2018,1626
14.02.2018,2291
15.02.2018,969
16.02.2018,1874
17.02.2018,1109
18.02.2018,1095
19.02.2018,2144
20.02.2018,2446
21.02.2018,2494
22.02.2018,2385
23.02.2018,2250
24.02.2018,1214
25.02.2018,876
26.02.2018,1991
27.02.2018,2035
28.02.2018,1870
01.03.2018,1892
02.03.2018,1587
03.03.2018,448
04.03.2018,967
05.03.2018,2565
06.03.2018,2730
07.03.2018,2175
08.03.2018,1975
09.03.2018,2123
10.03.2018,1259
11.03.2018,1265
12.03.2018,2355
13.03.2018,1371
14.03.2018,3053
15.03.2018,2645
16.03.2018,1551
17.03.2018,606
18.03.2018,735
19.03.2018,2525
20.03.2018,2242
21.03.2018,3726
22.03.2018,1715
23.03.2018,2117
24.03.2018,1877
25.03.2018,1995
26.03.2018,2641
27.03.2018,1947
28.03.2018,1410
29.03.2018,2092
30.03.2018,1205
31.03.2018,1229
01.04.2018,289
02.04.2018,770
03.04.2018,2131
04.04.2018,2022
05.04.2018,2269
06.04.2018,3251
07.04.2018,4091
08.04.2018,3387
09.04.2018,4767
